,S,I,R,Día
0,487,13,0,0
1,484,15,1,1
2,481,12,7,2
3,480,12,8,3
4,476,16,8,4
5,472,20,8,5
6,464,26,10,6
7,456,31,13,7
8,452,33,15,8
9,446,37,17,9
10,438,42,20,10
11,424,54,22,11
12,410,62,28,12
13,397,68,35,13
14,387,69,44,14
15,373,74,53,15
16,353,91,56,16
17,339,93,68,17
18,328,99,73,18
19,315,104,81,19
20,307,105,88,20
21,292,115,93,21
22,282,116,102,22
23,274,121,105,23
24,271,118,111,24
25,257,124,119,25
26,250,122,128,26
27,245,118,137,27
28,241,115,144,28
29,231,116,153,29
30,223,115,162,30
31,218,108,174,31
32,211,109,180,32
33,206,106,188,33
34,201,105,194,34
35,193,102,205,35
36,191,96,213,36
37,183,98,219,37
38,183,92,225,38
39,182,84,234,39
40,175,84,241,40
41,173,83,244,41
42,168,84,248,42
43,166,82,252,43
44,162,77,261,44
45,157,71,272,45
46,154,67,279,46
47,153,66,281,47
48,149,64,287,48
49,148,60,292,49
50,146,58,296,50
51,145,52,303,51
52,143,52,305,52
53,143,46,311,53
54,141,45,314,54
55,141,43,316,55
56,138,39,323,56
57,136,32,332,57
58,136,31,333,58
59,136,29,335,59
60,133,29,338,60
61,132,28,340,61
62,132,26,342,62
63,132,24,344,63
64,132,21,347,64
65,132,18,350,65
66,132,17,351,66
67,132,17,351,67
68,132,17,351,68
69,132,15,353,69
70,131,16,353,70
71,131,15,354,71
72,131,13,356,72
73,131,13,356,73
74,131,11,358,74
75,131,9,360,75
76,131,9,360,76
77,130,10,360,77
78,130,10,360,78
79,128,12,360,79
80,128,12,360,80
81,128,11,361,81
82,127,12,361,82
83,127,12,361,83
84,127,11,362,84
85,127,10,363,85
86,127,10,363,86
87,127,9,364,87
88,127,9,364,88
89,127,9,364,89
90,127,8,365,90
91,126,9,365,91
92,126,9,365,92
93,126,9,365,93
94,126,9,365,94
95,126,9,365,95
96,126,8,366,96
97,126,6,368,97
98,126,6,368,98
99,124,8,368,99
100,124,7,369,100
101,124,7,369,101
102,124,7,369,102
103,124,7,369,103
104,124,6,370,104
105,124,5,371,105
106,124,3,373,106
107,124,2,374,107
108,124,2,374,108
109,124,2,374,109
110,124,2,374,110
111,124,2,374,111
112,124,2,374,112
113,124,2,374,113
114,124,2,374,114
115,124,2,374,115
116,124,2,374,116
117,124,2,374,117
118,124,2,374,118
119,124,2,374,119
120,124,1,375,120
121,124,1,375,121
122,124,0,376,122
123,124,0,376,123
124,124,0,376,124
125,124,0,376,125
126,124,0,376,126
127,124,0,376,127
128,124,0,376,128
129,124,0,376,129
130,124,0,376,130
131,124,0,376,131
132,124,0,376,132
133,124,0,376,133
134,124,0,376,134
135,124,0,376,135
136,124,0,376,136
137,124,0,376,137
138,124,0,376,138
139,124,0,376,139
140,124,0,376,140
141,124,0,376,141
142,124,0,376,142
143,124,0,376,143
144,124,0,376,144
145,124,0,376,145
146,124,0,376,146
147,124,0,376,147
148,124,0,376,148
149,124,0,376,149
150,124,0,376,150
151,124,0,376,151
152,124,0,376,152
153,124,0,376,153
154,124,0,376,154
155,124,0,376,155
156,124,0,376,156
157,124,0,376,157
158,124,0,376,158
159,124,0,376,159
