,S,I,R,Día
0,489,10,1,0
1,488,10,2,1
2,487,10,3,2
3,486,10,4,3
4,485,10,5,4
5,484,10,6,5
6,483,10,7,6
7,482,10,8,7
8,481,10,9,8
9,480,10,10,9
10,479,10,11,10
11,478,10,12,11
12,477,10,13,12
13,476,10,14,13
14,475,10,15,14
15,474,10,16,15
16,473,10,17,16
17,472,10,18,17
18,471,10,19,18
19,470,10,20,19
20,469,10,21,20
21,468,10,22,21
22,467,10,23,22
23,466,10,24,23
24,465,10,25,24
25,464,10,26,25
26,463,10,27,26
27,462,10,28,27
28,461,10,29,28
29,460,10,30,29
30,459,10,31,30
31,458,10,32,31
32,457,10,33,32
33,456,10,34,33
34,455,10,35,34
35,454,10,36,35
36,453,10,37,36
37,452,10,38,37
38,451,10,39,38
39,450,10,40,39
40,449,10,41,40
41,448,10,42,41
42,447,10,43,42
43,446,10,44,43
44,445,10,45,44
45,444,10,46,45
46,443,10,47,46
47,442,10,48,47
48,441,10,49,48
49,440,10,50,49
50,439,10,51,50
51,438,10,52,51
52,437,10,53,52
53,436,10,54,53
54,435,10,55,54
55,434,10,56,55
56,433,10,57,56
57,432,10,58,57
58,431,10,59,58
59,430,10,60,59
60,429,10,61,60
61,428,10,62,61
62,427,10,63,62
63,426,10,64,63
64,425,10,65,64
65,424,10,66,65
66,423,10,67,66
67,422,10,68,67
68,421,10,69,68
69,420,10,70,69
70,419,10,71,70
71,418,10,72,71
72,417,10,73,72
73,416,10,74,73
74,415,10,75,74
75,414,10,76,75
76,413,10,77,76
77,412,10,78,77
78,411,10,79,78
79,410,10,80,79
80,409,10,81,80
81,408,10,82,81
82,407,10,83,82
83,406,10,84,83
84,405,10,85,84
85,404,10,86,85
86,403,10,87,86
87,402,10,88,87
88,401,10,89,88
89,400,10,90,89
90,399,10,91,90
91,398,10,92,91
92,397,10,93,92
93,396,10,94,93
94,395,10,95,94
95,394,10,96,95
96,393,10,97,96
97,392,10,98,97
98,391,10,99,98
99,390,10,100,99
100,389,10,101,100
101,388,10,102,101
102,387,10,103,102
103,386,10,104,103
104,385,10,105,104
105,384,10,106,105
106,383,10,107,106
107,382,10,108,107
108,381,10,109,108
109,380,10,110,109
110,379,10,111,110
111,378,10,112,111
112,377,10,113,112
113,376,10,114,113
114,375,10,115,114
115,374,10,116,115
116,373,10,117,116
117,372,10,118,117
118,371,10,119,118
119,370,10,120,119
120,369,10,121,120
121,368,9,123,121
122,367,8,125,122
123,366,7,127,123
124,365,7,128,124
125,364,6,130,125
126,363,6,131,126
127,362,5,133,127
128,361,5,134,128
129,360,4,136,129
130,359,3,138,130
131,358,3,139,131
132,357,2,141,132
133,356,1,143,133
134,355,0,145,134
135,355,0,145,135
136,355,0,145,136
137,355,0,145,137
138,355,0,145,138
139,355,0,145,139
140,355,0,145,140
141,355,0,145,141
142,355,0,145,142
143,355,0,145,143
144,355,0,145,144
145,355,0,145,145
146,355,0,145,146
147,355,0,145,147
148,355,0,145,148
149,355,0,145,149
150,355,0,145,150
151,355,0,145,151
152,355,0,145,152
153,355,0,145,153
154,355,0,145,154
155,355,0,145,155
156,355,0,145,156
157,355,0,145,157
158,355,0,145,158
159,355,0,145,159
