,Día,S,I,R
0,0,490,10,0
1,1,487,11,0
2,2,485,12,1
3,3,482,14,2
4,4,479,16,3
5,5,476,18,4
6,6,472,20,6
7,7,468,23,7
8,8,463,26,9
9,9,458,29,11
10,10,453,32,14
11,11,446,36,16
12,12,439,40,19
13,13,432,45,22
14,14,424,50,25
15,15,415,55,29
16,16,405,60,33
17,17,395,66,38
18,18,384,72,43
19,19,372,78,48
20,20,360,84,54
21,21,348,90,60
22,22,335,96,67
23,23,322,102,74
24,24,308,108,82
25,25,295,114,90
26,26,281,119,98
27,27,268,124,107
28,28,254,128,116
29,29,241,132,126
30,30,229,135,135
31,31,217,137,145
32,32,205,139,155
33,33,194,140,165
34,34,183,141,175
35,35,173,141,185
36,36,163,140,195
37,37,154,139,205
38,38,146,137,215
39,39,138,135,225
40,40,131,133,235
41,41,124,130,244
42,42,118,127,254
43,43,112,124,263
44,44,106,121,272
45,45,101,117,280
46,46,97,113,288
47,47,92,110,297
48,48,88,106,304
49,49,85,102,312
50,50,81,98,319
51,51,78,94,326
52,52,75,90,333
53,53,73,87,339
54,54,70,83,345
55,55,68,80,351
56,56,66,76,357
57,57,64,73,362
58,58,62,69,367
59,59,60,66,372
60,60,59,63,377
61,61,57,60,381
62,62,56,57,385
63,63,55,54,390
64,64,53,52,393
65,65,52,49,397
66,66,51,47,400
67,67,50,44,404
68,68,50,42,407
69,69,49,40,410
70,70,48,38,413
71,71,47,36,415
72,72,47,34,418
73,73,46,32,420
74,74,45,31,423
75,75,45,29,425
76,76,44,27,427
77,77,44,26,429
78,78,43,24,431
79,79,43,23,432
80,80,42,22,434
81,81,42,21,436
82,82,42,20,437
83,83,41,19,439
84,84,41,18,440
85,85,41,17,441
86,86,41,16,442
87,87,40,15,443
88,88,40,14,445
89,89,40,13,446
90,90,40,12,446
91,91,39,12,447
92,92,39,11,448
93,93,39,10,449
94,94,39,10,450
95,95,39,9,451
96,96,39,9,451
97,97,38,8,452
98,98,38,8,452
99,99,38,7,453
100,100,38,7,454
101,101,38,6,454
102,102,38,6,455
103,103,38,6,455
104,104,38,5,456
105,105,38,5,456
106,106,37,5,456
107,107,37,4,457
108,108,37,4,457
109,109,37,4,457
110,110,37,4,458
111,111,37,3,458
112,112,37,3,458
113,113,37,3,458
114,114,37,3,459
115,115,37,3,459
116,116,37,2,459
117,117,37,2,459
118,118,37,2,460
119,119,37,2,460
120,120,37,2,460
121,121,37,2,460
122,122,37,2,460
123,123,37,1,460
124,124,37,1,461
125,125,37,1,461
126,126,37,1,461
127,127,36,1,461
128,128,36,1,461
129,129,36,1,461
130,130,36,1,461
131,131,36,1,461
132,132,36,1,461
133,133,36,1,462
134,134,36,1,462
135,135,36,1,462
136,136,36,0,462
137,137,36,0,462
138,138,36,0,462
139,139,36,0,462
140,140,36,0,462
141,141,36,0,462
142,142,36,0,462
143,143,36,0,462
144,144,36,0,462
145,145,36,0,462
146,146,36,0,462
147,147,36,0,462
148,148,36,0,462
149,149,36,0,462
150,150,36,0,462
151,151,36,0,462
152,152,36,0,462
153,153,36,0,462
154,154,36,0,463
155,155,36,0,463
156,156,36,0,463
157,157,36,0,463
158,158,36,0,463
159,159,36,0,463
